kendall, 1
jenner, 1
pepsi, 1
plane, 27
ukraine, 908
asap, 14
Putin, 5743
order, 487
russian, 2717
armed, 54
force, 491
enter, 149
rebel, 178
territory, 493
eastern, 573
Ukraine, 18565
peacekeeping, 128
operation, 113
@thomasyu721023, 1
@ambliuxiaoming, 1
actively, 12
try, 455
stop, 501
Russia, 6639
200.000, 10
troop, 852
border, 750
right, 696
 , 2025
Huh, 4
think, 852
tweet, 122
@cacc, 1
@angry_staffer, 12
grandparent, 7
come, 403
opinion, 88
professional, 4
foreign, 182
policy, 126
expert, 51
interested, 31
happen, 536
lane, 4
know, 672
stay, 143
@clarkhunt13, 1
@zg44_analytic, 1
@anniefofani, 1
@aaronjmate, 6
significant, 25
compromise, 25
point, 248
4, 91


, 3723
barely, 14
scrape, 1
ceasefire, 25
Op, 3
ed, 4
Europe, 440
future, 145
rest, 130
newfound, 2
western, 291
common, 29
cause, 116
counter, 20
threat, 275
https://t.co/xgyeq8i4ph, 1
https://t.co/m3hrwgbwvo, 1
@edwardlucas, 5
190.000, 21
claim, 327
small, 70
region, 1093
 
, 36
classis, 1
bait, 7
switch, 12
military, 604
agreement, 183
akin, 3
bully, 42
bargain, 5
@koalafied2koala, 1
@Jgregoryy, 1
@anwuwbahwuavaia, 3
@Snowden, 7
weird, 22
conversation, 23
go, 871
ancestral, 3
country, 954
control, 237
past, 94
feel, 194
like, 1036
relevant, 22
secretly, 5
nationalistic, 4
belief, 7
left, 20
center, 20
canadian, 16
journalist, 54
https://t.co/Yhf9cuobp0, 1
@shapolicrebecca, 1
@olgatokariuk, 21
people, 975
favour, 11
3, 145
m, 82
surgent, 1
capture, 21
area, 246
support, 609
2, 342
m., 2
@replizcheney, 8
@realcmedward, 1
agree, 509
thank, 131
Liz, 14
stand, 262
suggest, 71
read, 178
new, 325
information, 76
war, 1712
U.S., 374
repeatedly, 22
declassify, 3
intelligence, 110
https://t.co/ezezjeklxx, 1
devopsish, 1
@lakefieldmoscow, 1
sanction, 803
fact, 150
ignore, 57
Minsk, 94
II, 20
regular, 23
yeah, 95
@we_are_toast, 1
@McFaul, 104
cyber, 43
attack, 608
ongoing, 49
normal, 23
People, 132
issue, 179

, 3691
putin, 233
https://t.co/04C8GaoJkH, 1
@bebsinyo, 1
@OlabamijiAyoola, 2
@friskyrobson, 3
@TheBriDen, 3
Crimea, 348
invade, 2090
annex, 156
speaker, 26
Bro, 7
Singapore, 1
majority, 45
chinese, 31
China, 319
na, 3
Downing, 5
Street, 12
warn, 147
playbook, 16
launch, 79
action, 215
begin, 141
play, 195
real, 198
time, 636
BREAKING, 61
news, 420
UkraineConflict, 138
PutinsWar, 32
UkraineRussiaCrisis, 185
https://t.co/qySEStp9KV, 1
act, 136
